ID,Name,Country,Sovereigns,Islands
855,SUMATRA MALAY/Palembang,Indonesia,Indonesia,
856,SUMATRA MALAY/Musi,Indonesia,Indonesia,
857,SUMATRA MALAY/Lembak,Indonesia,Indonesia,
858,SUMATRA MALAY/Sindang Kelingi,Indonesia,Indonesia,
860,SUMATRA MALAY/Lintang,Indonesia,Indonesia,
861,SUMATRA MALAY/Besemah,Indonesia,Indonesia,
862,SUMATRA MALAY/Rawas,Indonesia,Indonesia,
865,MINANGKABAU,Indonesia,,
866,SUMATRA MALAY/Kubu,Indonesia,,
869,MINANGKABAU/Northern,Indonesia,Indonesia,
870,MINANGKABAU/Central Northern,Indonesia,Indonesia,
871,MINANGKABAU/C-W,Indonesia,Indonesia,
872,MINANGKABAU/Central,Indonesia,Indonesia,
873,MINANGKABAU/Central Eastern,Indonesia,Indonesia,
874,MENTAWAI/Southern Siberut,Indonesia,Indonesia,
875,ANGKOLA-MANDAILING,Indonesia,Indonesia,
876,Lubu,Indonesia,,
878,MINANGKABAU/Western,Indonesia,Indonesia,
881,ACEHNESE,Indonesia,Indonesia,
882,Kluet,Indonesia,Indonesia,
885,J,Indonesia,Indonesia,
890,GAYO,Indonesia,Indonesia,
891,ALAS-KLUET,Indonesia,Indonesia,
892,Deli,Indonesia,Indonesia,
893,KARO,Indonesia,Indonesia,
894,Alas/Kluet,Indonesia,Indonesia,
895,TOBA,Indonesia,Indonesia,
896,SIMALUNGAN,Indonesia,Indonesia,
897,Karo,Indonesia,Indonesia,
898,KARO/Singkil,Indonesia,Indonesia,
899,KARO/Batak-Pakpak,Indonesia,Indonesia,
900,KARO/Dairi,Indonesia,Indonesia,
901,Orang Seletar,Malaysia,Southern Malaysia,
902,MALAY,Malaysia,Eastern Malaysia; Malaysia; North-Eastern Malaysia; North-Western Malaysia; Southern Malaysia; Urak Lawoi',
904,Orang Kanaq,Malaysia,Southern Malaysia,
910,SEMELAI/Temoq,Malaysia,Malaysia,
911,SEMELAI/Semelai,Malaysia,Southern Malaysia,
912,SEMELAI,Malaysia,Malaysia,
919,SEMELAI/Semaq Palong,Malaysia,Malaysia,
920,BESISI,Malaysia,Southern Malaysia,
922,KENABOI,Malaysia,Malaysia; Southern Malaysia,
923,BESISI/Betise',Malaysia,Southern Malaysia,
924,BESISI/Sakai of Ulu Langat,Malaysia,Southern Malaysia,
927,BESISI/Sisi',Malaysia,Southern Malaysia,
928,KENSIU/Semang of Sadang,Malaysia,Southern Malaysia,
930,SEMAQ BERI/SEMELAI,Malaysia,Southern Malaysia,
931,SEMAQ BERI,Malaysia,Malaysia,
932,SEMELAI/Biduanda of Chiong,Malaysia,Southern Malaysia,
935,SEMAI/Orang Tanjong of Langat,Malaysia,Malaysia,
937,JAH HET,Malaysia,Southern Malaysia,
938,CHE' WONG,Malaysia,Malaysia,
939,CHE' WONG/W,Malaysia,Malaysia,
940,CHE' WONG/E,Malaysia,Malaysia,
941,BATEK/Batek lga',Malaysia,Malaysia,
943,Batek Teq,Malaysia,Malaysia,
948,BATEK/Mintil,Malaysia,Malaysia,
949,BATEK/Batek De,Malaysia,Malaysia,
950,JEHAI/Menriq,Malaysia,North-Western Malaysia,
951,JEHAI/Batek Teh,Malaysia,Malaysia,
952,SEMAI/Bil,Malaysia,Malaysia; Southern Malaysia,
953,Ulu,Malaysia,Malaysia,
955,Temuan,Malaysia,Malaysia,
956,BATEK/Batek Hapen,Malaysia,Southern Malaysia,
959,Batek Nong,Malaysia,Malaysia; Southern Malaysia,
961,SEMAI,Malaysia,Malaysia; Southern Malaysia,
962,SEMAI/Lipis,Malaysia,Malaysia,
965,JEHAI/Jehai,Malaysia,North-Western Malaysia,
966,'LOW-COUNTRY SEMANG'/Meni Gul,Malaysia,North-Western Malaysia,
967,KENSIU/Kensiu Pemsed,Malaysia,North-Western Malaysia,
968,KENSIU/Kensiu Batu,Malaysia,Malaysia,
969,KENSIU/Kensiu Siong,Malaysia,North-Western Malaysia,
970,KENSIU,Malaysia,Malaysia; North-Western Malaysia,
972,KENSIU/Meni Kaien,Malaysia,North-Western Malaysia,
973,LANOH,Malaysia,North-Western Malaysia,
976,SEMAI/Kampar,Malaysia,Malaysia,
978,SEMAI/Cameron H. lands,Malaysia,Malaysia,
979,TEMIAR,Malaysia,Malaysia,
981,SEMAI/Jelai,Malaysia,Malaysia,
982,SEMAI/Bidor,Malaysia,Malaysia,
983,SEMAI/Sungkai,Malaysia,Malaysia,
984,SEMAI/Betau,Malaysia,Malaysia,
985,SEMAI/Telom,Malaysia,Malaysia,
987,SEMAI/Perak I,Malaysia,Southern Malaysia,
990,N-W,Malaysia,North-Western Malaysia,
992,TEMIAR/Southern,Malaysia,North-Western Malaysia,
994,TEMIAR/Northern,Malaysia,Malaysia,
995,Orang Hulu,Malaysia,Malaysia,
996,Local Malay,Singapore,Singapore,
997,Orang Seletar,Singapore,Singapore,
998,ABUI,East Timor,East Timor,
999,KABOLA,East Timor,East Timor,
1000,BLAGAR,Indonesia,,
1002,LAMAHOLOT,Indonesia,,
1003,LAMAHOLOT/East,Indonesia,,
1004,BUNAK,East Timor,East Timor,
1005,KEMAK/Kemak,East Timor,East Timor,
1006,OIRATA,Indonesia,,
1007,KISAR,Indonesia,,
1009,LETRI LGONA/Leti,Indonesia,,
1010,LETRI LGONA/Lakor,Indonesia,,
1011,LETRI LGONA/Sermata,Indonesia,,
1012,LETRI LGONA/Moa,Indonesia,,
1014,LETRI LGONA/Wetan-W(N)Babar,Indonesia,,
1015,TEUN,Indonesia,,
1018,SIMEULUE/Eastern,Indonesia,Indonesia,
1019,SIMEULUE/Western,Indonesia,Indonesia,
1021,NIAS/Western,Indonesia,Indonesia,
1022,MENTAWAI/Northern Siberut,Indonesia,Indonesia,
1023,MINANGKABAU/Muko-Muko,Indonesia,Indonesia,
1024,MENTAWAI/Pagai,Indonesia,Indonesia,
1025,MENTAWAI/Sipura,Indonesia,Indonesia,
1031,MINANGKABAU/South-Western,Indonesia,Indonesia,
1032,LAMPUNG/S-E,Indonesia,Indonesia,
1033,Banten,Indonesia,Indonesia,
1034,SASAK/North,Indonesia,Indonesia,
1035,SASAK/South-Eastern,Indonesia,Indonesia,
1036,SUMBAWA,Indonesia,Indonesia,
1037,SASAK/North-Eastern,Indonesia,Indonesia,
1039,LAMAHOLOT/Solor,East Timor,East Timor,
1041,TIMORESE/Mollo-Miomafo,East Timor,East Timor,
1042,LAMAHOLOT,East Tiimor,East Timor,
1043,TETUN/Western Tetun,East Timor,East Timor,
1044,MAMBAI/Mambai,East Timor,East Timor,
1045,JAKARTA MALAY,Indonesia,,
1046,SUMATRA MALAY/Bangka,Indonesia,,
1047,SUMATRA MALAY/Belitung,Indonesia,,
1048,Natuna Besar,Indonesia,,
1049,Anambas Island,Indonesia,,
1051,Western Coastal Malay,Indonesia,Borneo,
1053,JAVANESE/Cirebon,Indonesia,Indonesia,
1054,JAVANESE/Central Western,Indonesia,Indonesia,
1055,JAVANESE/Eastern,Indonesia,Indonesia,
1056,MADURESE/Western,Indonesia,Indonesia,
1057,MADURESE/Central,Indonesia,Indonesia,
1058,BIMA,Indonesia,Indonesia,
1061,LAMAHOLOT/Tanjung Bunga,Indonesia,,
1063,Austronesian,Indonesia,,
1067,SAVU/Timu,Indonesia,,
1068,ROTI,Indonesia,,
1071,MAKASAI,Indonesia,,
1073,DAMAR/S DAMAR,East Timor,East Timor,
1074,DAMAR/N DAMAR,East Timor,East Timor,
1076,YAMDENA/Northern,Indonesia,,
1077,KEI-FORDATA/Larat I,Indonesia,,
1078,BIAK,Indonesia,Indonesia,
1079,Bazaar Malay,Indonesia,,
1086,Adi,Indonesia,,
1087,Nufor,Indonesia,,
1090,'LOW-COUNTRY SEMANG'/Semang of Juru',Malaysia,North-Western Malaysia,
1092,VIET/South,Kampuchea,Kampuchea,
1098,THAI-MALAY,Malaysia,Malaysia,
1099,Nias/Eastern,Indonesia,,
1100,SUMATRA MALAY,Malaysia,Malaysia,
1101,SUMATRA MALAY/Riau,Indonesia,,
1106,KOLANA,Indonesia,,
1107,MUNA,Indonesia,Sulawesi,
1108,BAJO Ampana,Indonesia,Sulawesi,
1109,BAJO,Indonesia,Sulawesi,
1110,Wanji,Indonesia,Sulawesi,
1111,LAMAHOLOT/Lewolaga,East Timor,East Timor,
1115,THAI,Thailand,Thailand,
